Year,Month,Latitude,Longitude,Fire Index,Elevation,Slope,Aspect,NDVI,LULC,Proximity to roads,Proximity to settlements,Rainfall,Temperature,Humidity,Wind Speed
2017,7,29.20469092,79.33020135,53.97326188,2137.415547,13.31402765,346.9763379,0.488810504,Barren,4963.127742,215.8514543,212.3351935,13.79467827,76.55920425,7.080392761
2017,4,29.32702044,79.60129849,62.79500528,2451.108494,42.87847649,48.62885264,0.351936361,Water,3491.689856,1548.003725,144.9035567,5.177721964,55.74786631,16.41819268
2017,11,29.31846446,79.40892074,67.43038064,1211.795806,52.8938073,54.63914755,0.041838195,Water,1468.972353,1600.550705,268.9512753,16.2860424,56.71118587,15.65024016
2017,8,29.28804645,79.65897216,53.24811926,1948.823201,43.87899118,320.2475826,0.225997519,Forest,3360.262703,4191.76452,294.8040146,6.894815845,26.7820331,10.88364308
2017,5,29.20422395,79.51063139,72.14220673,1958.592936,41.83652514,339.8141821,0.767742825,Forest,3510.783826,3271.14989,119.7328052,32.405329,15.92869994,3.087235398
2017,7,29.25965272,79.62029991,14.12780493,1565.537185,45.15829764,275.6984541,0.457765383,Forest,1858.634923,1377.149518,124.6317049,17.47037885,47.17798425,5.01972971
2017,10,29.41340259,79.69157257,21.19824909,1733.546279,27.9033149,1.945772522,0.36439538,Urban,88.56925305,4838.699773,122.3887807,18.78487325,59.24895615,14.76967944
2017,3,29.43705266,79.63591554,81.87350041,1060.770501,52.45024093,0.484657544,0.732956626,Forest,3515.998924,1607.709162,97.36623292,15.49550708,17.60371669,16.12164331
2017,7,29.38178799,79.6467975,32.25279778,2193.376062,12.20618851,136.1162771,0.386511781,Barren,108.5004764,4991.170129,234.5061293,23.82518463,86.04275796,5.585305561
2017,11,29.47789026,79.4631938,2.289382498,1878.915967,7.64318496,51.6223332,0.326082518,Water,3155.94039,4980.818466,227.6987287,28.5322435,88.43314882,7.359701544
2017,11,29.39532311,79.52068904,15.37911497,1092.385683,17.13052681,6.619011175,0.559310855,Barren,818.0824437,956.0525887,143.5934612,24.44440229,53.63653563,1.552637705
2017,8,29.4744879,79.40155543,22.36144345,2089.209429,31.89464381,167.0640082,0.512665619,Forest,2828.017639,1563.705581,13.39836491,27.44621355,86.00553242,14.26923897
2017,5,29.45501157,79.37844524,95.73228879,1746.851324,30.63370772,339.5022831,-0.006839992,Urban,2519.565127,2430.220992,92.86779045,32.17920991,24.35561901,0.071550892
2017,4,29.3348352,79.50220315,57.30414289,1055.138015,49.23592546,116.575047,0.271308275,Urban,67.56821153,3320.503356,87.69091397,30.90639595,12.03365481,0.930830424
2017,8,29.22862303,79.53801959,93.27307405,2551.372363,24.27411938,238.0106442,0.272515443,Water,1814.329085,2640.237245,243.3261739,25.22175358,13.15276282,0.086881356
2017,8,29.31124548,79.4357085,57.51633505,2518.579429,29.06066558,234.8047271,0.178224515,Barren,3005.455837,4847.207346,26.27267202,11.43913889,57.00099835,12.90639167
2017,3,29.40065238,79.52777741,47.93544401,1820.643866,0.802060996,90.38883732,0.317293482,Agriculture,4243.032759,3619.945821,241.7026137,24.13108553,14.93135067,8.347742554
2017,6,29.39977671,79.65498419,31.37276912,1149.875873,24.58435419,234.1530896,0.213107398,Barren,4443.210569,1060.224247,200.7550957,20.18249287,86.68364855,5.950935227
2017,5,29.37738934,79.52268863,60.63709444,2207.393955,38.86645398,76.44023074,-0.000654511,Forest,2419.24985,525.4877511,219.7324377,26.51657693,21.35465686,18.25402021
2017,2,29.28241654,79.58832524,13.91980246,1787.08976,0.930499838,43.92266889,0.212366487,Agriculture,3642.112436,3442.006454,129.6639563,29.98794945,34.37782448,3.856055894
2017,8,29.36837303,79.62212599,89.82616273,1483.915965,16.85291791,252.4979828,-0.127723052,Urban,1582.272883,792.2622009,203.9177388,27.28164492,75.80142416,7.787360208
